model,problem_type,evaluated_folds,mae,mae_std,r2,r2_std,rmse,rmse_std
LinearRegression,regression,5,0.5069545744455667,0.03683155372806881,0.3424146180949018,0.06418627307106871,0.6535764413508066,0.040007135196381785
RandomForestRegressor,regression,5,0.4136148413009404,0.02041984251239782,0.49366767575542525,0.027480077448979373,0.5737729695679298,0.021323106188856696
